refid,unittitle,unitdate,container_type,container_label,extent,extent_desc,note_title,note_text,persname_1,persname_2,persname_3,persname_4
ref1291,Business Plan for Satellite Concert Networks,1985,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/284/gault.brian.1985.thesis.doc.PDF,J. Brian Gault,,,
ref1292,Untitled,1996,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/285/gee.matthew.1996.thesis.doc.PDF,Matthew Gee,,,
ref1293,Untitled,1996,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/286/gendler.jennifer.1996.thesis.doc.PDF,Jennifer Gendler,,,
ref1294,foundcity: creating associative links between points in physical space,2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/287/geraci.john.2005.thesis.doc.PDF,John Geraci,,,
ref1295,Video Compression: transforming the telecommunications Industry of the 21st century.,1992,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/288/gianetti.christopher.1992.thesis.doc.PDF,Christopher Gianetti,,,
ref1296,Guide to the Import of Telecommunication Products into Italy and Opportunities in the Market,1986,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/289/gilioli.lawrence.1986.thesis.doc.PDF,Lawrence Gilioli,,,
ref1297,The Evolution of Personal Computer Software or How to Get Out of the Data Entry Sweatshop,1986,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/290/gill.randy.1986.thesis.doc.PDF,Randy Gill,,,
ref1298,Styvesant Village Cable Television Proposal,1992,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/291/ginsberg.ellen.1992.thesis.doc.PDF,Ellen Ginsberg,,,
ref1299,Pegasus,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/292/giovanni.fortezza.1998.thesis.doc.PDF,Fortezza Giovanni,,,
ref1300,Dynamic Voice Telephony: telephony's culture as a social construct,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/293/gitman.yury.2002.thesis.doc.PDF,Yury Gitman,,,
ref1301,Digital Rhythms,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/294/giutoli.michael.2002.thesis.doc.PDF,Michael Giutoli,,,
ref1302,Theo Designers,1994,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/295/glassman.heath.1994.thesis.PDF,Heath Glassman,,,
ref1303,Whitney Vision,1995,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/296/glassman.heath.1995.thesis.doc.PDF,Heath Glassman,,,
ref1304,EKTA (Unity),2005,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/297/goenka.nupur.2005.thesis.doc.PDF,Nupur Goenka,,,
ref1305,Apt. 2B,2002,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/298/goff.claire.2002.thesis.doc.PDF,Claire Goff,,,
ref1306,The Birth Project,1994,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/299/goldberg.edward.1994.thesis.doc.PDF,Edward Goldberg,,,
ref1307,CyberBlocks,1998,Box,ITP Archive Thesis Database,1.0 object,One thesis pdf,Document Link,http://s3.amazonaws.com/itp_archive/documentation/300/goldberg.eric.1998.thesis.doc.PDF,Eric Goldberg,,,
